Doctor Name,Experience,Speciality,Fees,Rating,Locality,City
Dr. Jaideep Mankani,32,Ear-Nose-Throat (ENT) Specialist,1000,94% ,Kandivali East,Mumbai
Dr. Shaival Chauhan,18,Orthopedist,1000,99% ,Ghatkopar West,Mumbai
Dr. Jeevan Shetty,24,Dentist,500,96% ,Powai,Mumbai
Dr. Jiten Chowdhry,30,General Surgeon,1000,94% ,Bhandup West,Mumbai
Dr. Aditya Sai,17,Orthopedist,2000,96% ,Powai,Mumbai
Dr. Fayyaz A Sattar,32,Sexologist,800,97% ,Andheri West,Mumbai
Dr. Alok Shah,12,Dentist,300,98% ,Powai,Mumbai
Dr. Priya Sawant,21,Ophthalmologist,700,100% ,Santacruz East,Mumbai
Dr. Surabhi Deshpande,6,Dermatologist,1000,94% ,Ghatkopar West,Mumbai
Dr. Rajendra S Sankpal,29,Gynecologist/Obstetrician,1000,98% ,Malad West,Mumbai
Dr. Hitesh Shah,35,Sexologist,1500,99% ,Kandivali West,Mumbai
Dr. Priyanka Deshpande,20,Dentist,600,99% ,Borivali West,Mumbai
Dr. Uday Tamhankar,39,Dentist,300,100% ,Borivali West,Mumbai
Dr. Anjali Jitendra Bapat,37,Gynecologist/Obstetrician,1000,95% ,Mahim,Mumbai
Dr. Rati Chadha,15,Dentist,500,99% ,Bandra West,Mumbai
Dr. Amit Vora,19,Homoeopath,1000,97% ,Bhandup West,Mumbai
Dr. Bhavesh Gohil,23,Ophthalmologist,600,99% ,Wadala,Mumbai
Dr. Hetal Chheda,16,Dentist,400,98% ,Borivali West,Mumbai
Dr. Vidya Patil,27,Gynecologist/Obstetrician,1000,88% ,Kandivali West,Mumbai
Dr. Priyanka Sukthankar   (Physiotherapist),15,Physiotherapist,700,99% ,Andheri East,Mumbai
Dr. Sandesh S Kumar,22,Dentist,500,98% ,Mulund West,Mumbai
Dr. Charmi Mehta,13,Dentist,200,100% ,Kandivali West,Mumbai
Dr. Devang Shah,13,Dentist,300,97% ,Kandivali West,Mumbai
Dr. Disha Sanghvi,15,Dentist,500,100% ,Versova,Mumbai
Dr. Preeti Hooda,13,Dentist,300,100% ,Kandivali East,Mumbai
Dr. Kukreja A. Kalani,26,Homoeopath,500,98% ,Powai,Mumbai
Dr. Rohan Sawant   (Physiotherapist),10,Physiotherapist,400,100% ,Kandivali West,Mumbai
Dr. Kuldip Raj Kohli,41,Ayurveda,1000,100% ,Lower Parel,Mumbai
Dr. Shruti Purohit,12,Dentist,300,97% ,Kandivali East,Mumbai
Dr. Keyur Mehta,16,Dentist,1000,100% ,Khar West,Mumbai
Dr. Nishant Gandhi,17,Dentist,500,98% ,Powai,Mumbai
Dr. Nitin Goradia,31,Ayurveda,1500,97% ,Grant Road,Mumbai
Dr. Shalini Pal,16,Dentist,350,100% ,Marol,Mumbai
Dr. Parag Shah,21,Dentist,600,99% ,Ghatkopar East,Mumbai
Dr. Siddhi Dinesh Prabhu,13,Dentist,300,100% ,Grant Road,Mumbai
Dr. Gaurav Poplai,15,Dentist,500,99% ,Bandra West,Mumbai
Dr. Dipika Bharani,14,Dentist,500,99% ,Vileparle East,Mumbai
Dr. Bhavin Shah,14,Dentist,500,99% ,Goregaon East,Mumbai
Dr. Meghal Shah,17,Dentist,400,99% ,Vileparle East,Mumbai
Dr. Sagar D. Barkade,17,Dentist,500,99% ,Chembur,Mumbai
Dr. Balkrishna M Inamdar,44,Gynecologist/Obstetrician,1000,92% ,Goregaon West,Mumbai
Dr. Ashish Agarwal,34,Orthopedist,1500,97% ,Matunga,Mumbai
Dr. Gouri Sultane Gupta,20,Gynecologist/Obstetrician,1000,91% ,Goregaon West,Mumbai
Dr. Manjushri Kothekar,19,Gynecologist/Obstetrician,1000,100% ,Chembur,Mumbai
Dr. Bharat Porwal,30,Dentist,500,99% ,Lower Parel,Mumbai
Dr. Bharat Porwal,30,Dentist,500,99% ,Lower Parel,Mumbai
Dr. Sonal Malguria Bhasin,26,Dentist,300,98% ,Santacruz West,Mumbai
Dr. Varun Parikh,15,Dentist,500,99% ,Ghatkopar East,Mumbai
Dr. Yuvaraja S Shetty,18,Pediatrician,1000,99% ,Mulund West,Mumbai
Dr. Vicky Jain,17,Plastic Surgeon,1500,99% ,Opera House,Mumbai
Dr. Amit Majethia,13,Dentist,500,100% ,Ghatkopar East,Mumbai
Dr. Vikas Jain,16,Spine Surgeon,1000,95% ,Chembur East,Mumbai
Dr. Pradnya Randive,17,Gynecologist/Obstetrician,1200,95% ,Bhandup West,Mumbai
Dr. Ambika Arora,12,Dentist,2000,100% ,Tilak Nagar,Mumbai
Dr. Dinesh Kumar Joshi   (Physiotherapist),7,Physiotherapist,800,100% ,Goregaon West,Mumbai
Dr. Darshan Sheth,15,Dentist,500,98% ,Ghatkopar East,Mumbai
Dr. Mikeen Shah,14,Ophthalmologist,600,96% ,Andheri East,Mumbai
Dr. Chetan Lokhande,13,Psychiatrist,1300,100% ,Kurla East,Mumbai
Dr. Sheena Soni,9,Dentist,500,96% ,Colaba,Mumbai
Dr. Darshan Desai,22,Ayurveda,1600,98% ,Borivali West,Mumbai
Dr. Devanshi Shah,12,Ophthalmologist,1000,99% ,Ghatkopar East,Mumbai
Dr. Amit Oswal,14,Dentist,200,92% ,Lal baug,Mumbai
Dr. Sujata Chitnis,42,Pediatrician,1000,100% ,Vileparle East,Mumbai
Dr. Mayuri Jobanputra Shah,13,Dentist,500,97% ,Borivali West,Mumbai
Dr. Yogesh P Mehta,38,Pediatrician,1000,99% ,Ghatkopar West,Mumbai
Dr. Samarjit S. Bansal,17,Orthopedist,600,99% ,Borivali,Mumbai
Dr. Chetan Bhole,25,Dentist,500,93% ,Mulund East,Mumbai
Dr. Pratima S  Wagh,28,Ophthalmologist,800,100% ,Kandivali,Mumbai
Dr. Shlesha Shah,16,Dentist,300,99% ,Mulund West,Mumbai
Dr. Seema S. Masrani,30,General Physician,1000,93% ,Kandivali West,Mumbai
Dr. Punit Kaur Anand Khalsa,8,Dentist,200,99% ,Chembur East,Mumbai
Dr. Avya Bansal,9,Pulmonologist,1500,99% ,Bandra West,Mumbai
Dr. Bindu Gohil Mulekar,32,Gynecologist/Obstetrician,1000,75% ,Malad West,Mumbai
Dr. Abhijit  Jadhav,23,Diabetologist,1500,98% ,Mulund East,Mumbai
Dr. Kiran Makwana,13,Family Physician,700,92% ,Borivali East,Mumbai
Dr. Rekha Kadam,25,General Physician,800,92% ,Andheri West,Mumbai
Dr. Jainika,7,Dentist,100,100% ,Dahisar East,Mumbai
Dr. Reetu Kait,6,Dentist,200,92% ,Mira Road,Mumbai
Dr. Rhea Abraham,17,Dentist,500,100% ,Andheri East,Mumbai
Dr. Aashish Tiwari,15,Dentist,300,100% ,Tilak Nagar,Mumbai
Dr. Yash Girish Shete,8,Homoeopath,500,100% ,Malad West,Mumbai
Dr. Mitali Gandhi,14,Dentist,400,100% ,Ghatkopar East,Mumbai
Dr. Tanuja Uchil,26,Gynecologist/Obstetrician,1200,94% ,Chembur East,Mumbai
Dr. Sanjeev Upadhyaya,24,Ophthalmologist,2500,100% ,Marine Drive,Mumbai
Dr. Maithil Thakkar,15,Ophthalmologist,600,99% ,Chembur West,Mumbai
Dr. Shruti Thar,12,Gynecologist/Obstetrician,1000,100% ,Mulund West,Mumbai
Dr. Wishi Parihar,12,Dentist,200,95% ,Mira Road,Mumbai
Dr. Ujjvala Jadhav,24,Dermatologist,1000,93% ,Goregaon East,Mumbai
Dr. Pooja Gawand,13,Dentist,500,98% ,Mulund West,Mumbai
Dr. Sangita B Manek,25,Ophthalmologist,800,100% ,Bhandup West,Mumbai
Dr. Nutan Hegde,20,Gynecologist/Obstetrician,900,98% ,Dadar West,Mumbai
Dr. Salaah Qureshi,20,,1500,100% ,Seven Bungalows,Mumbai
Dr. Sonal K Shah,13,Dentist,500,100% ,JB Nagar,Mumbai
Dr. Asavari Dongre,17,Gynecologist/Obstetrician,1000,97% ,Matunga,Mumbai
Dr. Prabhjot Manchanda,13,Gynecologist/Obstetrician,800,90% ,Ghatkopar East,Mumbai
Dr. Amar Ravjiani,31,Dentist,750,98% ,Ghatkopar East,Mumbai
Dr. Shoaib Akhai,14,Dentist,300,100% ,Lower Parel,Mumbai
Dr. Joshika Bhandary,12,Dermatologist,1200,100% ,Andheri West,Mumbai
Dr. Raksha Savla,13,Dentist,500,96% ,Andheri West,Mumbai
Dr. Rabiah Patel,15,Dentist,300,100% ,Andheri West,Mumbai
Dr. Atul Patil,12,Orthopedist,900,97% ,Mulund East,Mumbai
Dr. Sonal H Sanghavi,29,Homoeopath,1500,100% ,Borivali West,Mumbai
Dr. Kinnari,11,Dentist,200,100% ,Borivali West,Mumbai
Dr. Sachin Salunkhe,13,Dentist,500,100% ,Mulund West,Mumbai
Dr. Ankesh Jain,13,Dentist,800,100% ,Mazgaon,Mumbai
Dr. Angad Shetye,13,Dentist,500,100% ,Kandivali West,Mumbai
Dr. Sumit Bohra,12,Dentist,500,100% ,Prabhadevi,Mumbai
Dr. Madhura Nayak,13,Ophthalmologist,500,100% ,Goregaon West,Mumbai
Dr. Punit Vinod Garg,9,Pediatrician,1000,100% ,Malad West,Mumbai
Dr. Govind Lihinar,10,Ayurveda,500,96% ,Tilak Nagar,Mumbai
Dr. Ameera Lakha,8,Dentist,500,100% ,Khar West,Mumbai
Dr. Ashna Godhwani,8,Dentist,500,100% ,Bandra West,Mumbai
Dr. Gautam Kikeri,25,Dentist,700,100% ,Powai,Mumbai
Dr. Amit Jain,9,Nephrologist,1500,100% ,Goregaon West,Mumbai
Dr. Neha Mistry,23,Dentist,500,100% ,Mulund West,Mumbai
Dr. Gautami Sharangpani,8,Dentist,600,96% ,Kandivali East,Mumbai
Dr. Suraj Shetty,14,Dermatologist,1200,99% ,Andheri West,Mumbai
Dr. Varun H Shah,15,Gynecologist/Obstetrician,1200,100% ,Borivali West,Mumbai
Dr. Shagun A Verma,15,Dentist,1000,100% ,Khar West,Mumbai
Dr. Shantanu  K Kundgir,20,Orthopedist,1500,91% ,Bandra West,Mumbai
Dr. Priyanka S. Udeshi,9,Dentist,500,100% ,Prabhadevi,Mumbai
Dr. Jay Mehta,12,Gynecologist/Obstetrician,3000,83% ,Ghatkopar East,Mumbai
Dr. Parampreet Kohli,10,Dentist,1000,100% ,Andheri West,Mumbai
Dr. Neha Palvia Parikh,14,Dentist,1000,100% ,Ghatkopar East,Mumbai
Dr. Suhas Vilasrao Aagre,10,Oncologist,2000,95% ,Chembur,Mumbai
Dr. Rajashri Shanbhag,27,Pediatrician,800,100% ,Jogeshwari East,Mumbai
Dr. Priya Karande   (Physiotherapist),11,Physiotherapist,500,100% ,Parel,Mumbai
Dr. Sandip Bhurke,27,Nephrologist,2000,93% ,Andheri West,Mumbai
Dr. Reema Nanavati,15,Dentist,500,100% ,Goregaon East,Mumbai
Dr. Pooja Sable,10,Dentist,500,100% ,Kandivali West,Mumbai
Dr. Nihar P Thakkar,13,Dentist,300,100% ,Mulund West,Mumbai
Dr. Deven Dabholkar,14,Dentist,300,95% ,Borivali West,Mumbai
Dr. Meenu Dinesh,7,Dentist,200,97% ,Chembur East,Mumbai
Dr. Kruti Dholakia,15,Dentist,500,98% ,Andheri West,Mumbai
Dr. Akshay Bandewar,11,Dentist,300,100% ,Chembur East,Mumbai
Dr. Preeti Shetty,20,Dentist,300,100% ,Kandivali West,Mumbai
Dr. Samir Bagadia,16,Urologist,1500,88% ,Andheri West,Mumbai
Dr. Kinjal Shah,14,Homoeopath,2200,100% ,Kandivali West,Mumbai
Dr. Kapil Jain,10,Dentist,600,100% ,Borivali West,Mumbai
Dr. Pravin A. Singh   (Physiotherapist),15,Physiotherapist,500,100% ,Vikhroli,Mumbai
Dr. Jayesh Ghuge,8,Dentist,200,100% ,Mira Road,Mumbai
Dr. Samvaad Shetty,11,General Physician,1500,100% ,Andheri East,Mumbai
Dr. Deepika Asati,19,Gynecologist/Obstetrician,800,95% ,Kandivali East,Mumbai
Dr. Bhadra P. Vaidya,21,Ayurveda,700,100% ,Goregaon West,Mumbai
Dr. Aaditi Mahajan,13,Dentist,650,98% ,Chembur East,Mumbai
Dr. Mitali Pimpale,10,Dentist,500,100% ,Mulund West,Mumbai
Dr. Srushti Garg,10,Dentist,300,100% ,Borivali West,Mumbai
Dr. Sharin Jacob,11,Dentist,300,100% ,Borivali West,Mumbai
Dr. Vivek Salunke,26,Gynecologist/Obstetrician,1500,100% ,Goregaon East,Mumbai
Dr. Shouvik Chowdhury,17,Dentist,300,100% ,Bhandup West,Mumbai
Dr. Shishir Singh,35,Dentist,500,100% ,Khar West,Mumbai
Dr. Neeta Korgaonkar,20,Homoeopath,700,98% ,Vikhroli East,Mumbai
Dr. Shruti Shinde,9,Dentist,350,100% ,Andheri West,Mumbai
Dr. Priyanka Jairaj Dalvi,12,Dentist,500,100% ,Vileparle West,Mumbai
Dr. Aditi Birje,8,Pediatrician,800,100% ,Borivali,Mumbai
Dr. Premlata Jaiswal   (Physiotherapist),11,Physiotherapist,300,95% ,Mira Road,Mumbai
Dr. Shruti Chavan,13,Dermatologist,1200,100% ,Andheri West,Mumbai
Dr. Rohit Barnabas,12,Endocrinologist,2000,100% ,Ghatkopar West,Mumbai
Dr. Mayur Rabhadiya,10,,1000,97% ,Ghatkopar West,Mumbai
Dr. Ayesha,7,Cosmetologist,800,100% ,Andheri West,Mumbai
Dr. Ritu Shah,12,Ophthalmologist,1000,92% ,Andheri East,Mumbai
Dr. Himanshu Shah,15,Dentist,500,100% ,Lamington Road,Mumbai
Dr. Nilima Paranjpe,28,Veterinarian,650,97% ,Malad West,Mumbai
Dr. Nikhil Ranjan,6,Dentist,300,98% ,Lower Parel,Mumbai
Dr. Kripal M Panchal   (Physiotherapist),7,Physiotherapist,1000,100% ,Malad East,Mumbai
Dr. Nitesh B. Karnire,14,Cardiologist,1000,86% ,Bandra East,Mumbai
Dr. Abhishek Ramesh Chauhan,15,Hair Transplant Surgeon,1000,94% ,Ghatkopar West,Mumbai
Dr. Anirudh Kamtam,6,Dentist,300,100% ,Prabhadevi,Mumbai
Dr. Shraddha Deshmukh,10,Dentist,100,100% ,Kandivali East,Mumbai
Dr. Kamales Kumar Saha,37,Cardiac Surgeon,3300,91% ,Goregaon East,Mumbai
Dr. Pramod Patil,16,Homoeopath,2000,99% ,Borivali East,Mumbai
Dr. Amey Jadhav,11,General Physician,400,100% ,Parel,Mumbai
Dr. Shivani Gupta,8,Dentist,300,100% ,Chinchpokli,Mumbai
Dr. Pratiksha Tiwari,8,Dentist,300,100% ,Mulund East,Mumbai
Dr. Shailesh Rojekar,31,Dentist,800,96% ,Prabhadevi,Mumbai
Ms. Shubhangi Deshmukh,21,Acupuncturist,1200,100% ,Powai,Mumbai
Dr. Manish Purohit,13,Dentist,100,98% ,Kandivali East,Mumbai
Dr. Neelu Jain   (Physiotherapist),33,Physiotherapist,600,99% ,Kandivali West,Mumbai
Dr. Rais Ansari,23,General Surgeon,3500,98% ,Worli,Mumbai
Dr. Prarthana Thakkar,6,Dentist,500,100% ,Ghatkopar East,Mumbai
Dr. Anshul Gupta,14,Dentist,500,100% ,Andheri West,Mumbai
Dr. Saudnya Rudrawar,6,Dentist,300,100% ,Chembur East,Mumbai
Dr. Tamara Lopez,13,Dentist,500,100% ,Bandra West,Mumbai
Dr. Vinaykumar Thapar,29,General Surgeon,1100,91% ,Powai,Mumbai
Dr. Noureen Hemani,16,Dentist,100,98% ,Dahisar East,Mumbai
Dr. Rikin Gogri,22,Dentist,400,98% ,Goregaon West,Mumbai
Dr. Aditya Dhawale,14,Cardiologist,1000,90% ,Ghatkopar West,Mumbai
Dr. Yatishakumari Kesalikar   (Physiotherapist),4,Physiotherapist,600,100% ,Borivali West,Mumbai
Dr. Kerfegar Wadia,9,Homoeopath,700,88% ,Colaba,Mumbai
Dr. K Neethu John   (Physiotherapist),11,Physiotherapist,1000,100% ,Prabhadevi,Mumbai
Dr. Saidu Mukesh Kota,6,General Physician,500,87% ,Dadar East,Mumbai
Dr. Keerti Sachdeva (PhD)   (PhD),38,Psychologist,2000,87% ,Andheri West,Mumbai
Dr. Dhruti Raut Chavan,12,Dentist,500,98% ,Dadar East,Mumbai
Dr. Rajiv Bhanej,22,Homoeopath,700,97% ,Malad West,Mumbai
Dr. Upasana Gosalia,14,Dentist,350,100% ,Ghatkopar East,Mumbai
Dr. Vilas Kulkarni,53,Pediatrician,1000,97% ,Andheri West,Mumbai
Dr. Shaikh Firdos Mukhtar Ahmed   (Physiotherapist),13,Physiotherapist,1000,100% ,Prabhadevi,Mumbai
Dr. Sejal Jain,13,Dentist,400,100% ,Vileparle West,Mumbai
Dr. Niraj Jha   (Physiotherapist),17,Physiotherapist,1000,97% ,Chembur,Mumbai
Dr. Mohit Solanki,12,Dentist,500,98% ,Andheri West,Mumbai
Dr. Brijesh Kumar Yadav,14,Homoeopath,500,96% ,Mira Road,Mumbai
Ms. Smita Nanda R D,17,Dietitian/Nutritionist,1200,97% ,Kandivali East,Mumbai
Dr. Harshida Pai   (Physiotherapist),13,Physiotherapist,800,99% ,Andheri East,Mumbai
Dr. Sagar J Abichandani,14,Dentist,500,95% ,Andheri West,Mumbai
Dr. Fauzia Khimani Naaz,13,Dentist,500,99% ,Jacob Circle,Mumbai
Dr. Pallavi Rathi,19,Dermatologist,1200,90% ,Andheri East,Mumbai
Dr. Jeetendra Khatuja,15,Dermatologist,1000,99% ,Andheri West,Mumbai
Dr. Mukul Kaushik,26,Cardiologist,2600,100% ,Powai,Mumbai
Dr. Raina Nahar,15,Dermatologist,1000,93% ,Andheri West,Mumbai
Dr. Dhvani Doshi,10,Dentist,600,50% ,Borivali West,Mumbai
Dr. Amit Chavan,15,Dentist,500,99% ,Dadar East,Mumbai
Dr. C. B. Munjewar,17,Cardiologist,1500,98% ,Ghatkopar,Mumbai
Dr. Meghna Mour,24,Dermatologist,3000,94% ,Senapati Bapat Marg,Mumbai
Dr. Priyam Bhagat,20,Dermatologist,1500,97% ,Goregaon East,Mumbai
Dr. Abhinav Tiwari,12,Pediatrician,900,99% ,Powai,Mumbai
Dr. Khushboo Kadri,19,Cosmetologist,1000,93% ,Bandra West,Mumbai
Dr. Ajay Nimbalkar,12,Dermatologist,1200,95% ,Khar West,Mumbai
Dr. Bharat Mali,9,Psychiatrist,1000,100% ,Chira Bazaar,Mumbai
Dr. Namita P. Patil,15,Homoeopath,1000,100% ,Borivali East,Mumbai
Dr. Rohann Bokdawala,14,Psychiatrist,2500,97% ,Marine Lines,Mumbai
Dr. Mythily Sindhur Boreddy,10,Pediatrician,800,98% ,Powai,Mumbai
Dr. Mohd Asif,11,Hair Transplant Surgeon,1000,100% ,Santacruz West,Mumbai
Dr. Hardik Shah,8,,600,100% ,Kandivali,Mumbai
Dr. Padagatti Shridhar,27,Cardiac Surgeon,1500,97% ,Mulund West,Mumbai
Dr. Rajshree Chavan,14,Ayurvedic Pharmacologist,600,100% ,Dadar East,Mumbai
Dr. Deep Garg,14,Dentist,500,100% ,Borivali West,Mumbai
Dr. Aastha Chandra,12,Dentist,1000,100% ,Juhu,Mumbai
Dr. Ritu Girdhar,16,Dentist,500,60% ,Wadala,Mumbai
Dr. Kiran Virpuriya,6,Dentist,500,90% ,Tilak Nagar,Mumbai
Dr. Aditya Pardasany   (Physiotherapist),17,Physiotherapist,1300,96% ,Bandra West,Mumbai
Dr. Tabrez Lakha,11,Dentist,500,100% ,Khar West,Mumbai
Dr. Prajakta Rajurkar,17,Ayurveda,299,100% ,Andheri West,Mumbai
Dr. Supritha Shetty,15,Dentist,500,98% ,Malad West,Mumbai
Dr. Nimisha Mehta,9,Gynecologist/Obstetrician,800,97% ,Mulund,Mumbai
Dr. Chandni Kotak,12,Ophthalmologist,1200,100% ,Malabar Hill,Mumbai
Ms. Bijal Furia,7,Dietitian/Nutritionist,700,100% ,Ghatkopar,Mumbai
Dr. Radhika Parekh Paleja,15,Dentist,1500,95% ,Khar West,Mumbai
Dr. Prajakta Shirsat,3,Dentist,300,100% ,Parel,Mumbai
Dr. Raashi Mehta,13,Dermatologist,1500,95% ,Peddar Road,Mumbai
Dr. Nida Merchant,4,Dentist,500,96% ,Bandra West,Mumbai
Dr. Viral Maru,17,Dentist,1000,100% ,Girgaon,Mumbai
Dr. Renubala Rout,17,Gynecologist/Obstetrician,1000,96% ,Kandivali East,Mumbai
Dr. Hiral Bhatt,13,Ayurveda,800,100% ,Andheri East,Mumbai
Dr. Lohar Sachin Chindhu,8,Sexologist,499,100% ,Andheri East,Mumbai
Dr. Urvi Maheshwari,17,General Practitioner,900,95% ,Ghatkopar West,Mumbai
Dr. Rameshwar Gutte,19,Dermatologist,1200,97% ,Powai,Mumbai
Dr. Komal Dave,14,Dentist,500,100% ,Kandivali,Mumbai
Dr. Malay Mehta,12,Dermatologist,1000,99% ,Vileparle West,Mumbai
Dr. Soham Mallick,11,Dentist,500,89% ,Powai,Mumbai
Dr. Bhushan S  Bawankar,13,Dermatologist,1200,96% ,Matunga West,Mumbai
Dr. Manasi Dave,16,General Physician,1000,94% ,Kandivali,Mumbai
Dr. Niteen Dedhia,40,Ophthalmologist,1200,89% ,Bandra West,Mumbai
Dr. Sunita Jonwal,15,Ayurveda,800,71% ,Borivali West,Mumbai
Dr. Amol Gaikwad,17,Ayurveda,299,97% ,Mira Road,Mumbai
Dr. Ajay   (Physiotherapist),14,Physiotherapist,700,100% ,Mulund West,Mumbai
Dr. Prachi M Mhaskar,14,Ayurveda,299,91% ,Chembur,Mumbai
Dr. Manisha Jethava,9,Dermatologist,1000,100% ,Mulund West,Mumbai
Dr. Baburao Kshirsagar,31,Ayurveda,299,100% ,Chembur,Mumbai
Dr. Shraddha Shivgan,14,Gynecologist/Obstetrician,1000,67% ,Chembur East,Mumbai
Dr. Bhoomika Jain,7,Gynecologist/Obstetrician,1500,100% ,Churchgate,Mumbai
Dr. Priyanka Shukla,14,Ayurveda,300,100% ,Kemps Corner,Mumbai
Dr. Diksha Mali,4,Dermatologist,1000,50% ,Chira Bazaar,Mumbai
Dr. Swati Subhash Dhawale,22,Homoeopath,2500,100% ,Parel,Mumbai
Dr. Shilpa Abhyankar,29,Gynecologist/Obstetrician,800,97% ,Dadar East,Mumbai
Dr. Shantanu Jambhekar,16,Dentist,500,99% ,Parel,Mumbai
Dr. Jayashree Todkar,31,Bariatric Surgeon,1500,95% ,Powai,Mumbai
Dr. Shyam Mithiya,16,Sexologist,1750,96% ,Ghatkopar West,Mumbai
Dr. Ritika Arora,22,Dentist,800,97% ,Khar West,Mumbai
Dr. Ankit Mehta,10,Cardiologist,1000,89% ,Mulund,Mumbai
Dr. Sunayana Dubey,22,Gynecologist/Obstetrician,1000,94% ,Kandivali East,Mumbai
Dr. Varsha Degwekar,36,Gynecologist/Obstetrician,1000,84% ,Powai,Mumbai
Dr. Madhushree Venkat,23,Gynecologist/Obstetrician,1000,91% ,Mulund West,Mumbai
Dr. Vijay D Shetty,28,Orthopedist,2600,99% ,Powai,Mumbai
Dr. Hardik J. Shah,18,Dentist,500,98% ,JB Nagar,Mumbai
Dr. Suresh Advani,50,Oncologist,3500,71% ,Santacruz West,Mumbai
Dr. Arun Kumar,35,Ayurveda,800,96% ,Dadar West,Mumbai
Dr. Harshant Upadhyaya   (PhD),18,Psychologist,3000,98% ,Ghatkopar West,Mumbai
Dr. Laxman G. Jonwal,35,,800,90% ,Borivali West,Mumbai
Dr. Abhijit V. Shetty,15,Dentist,300,98% ,Chembur,Mumbai
Dr. Shrirang S Yadwadkar,12,General Surgeon,800,100% ,Mulund West,Mumbai
Dr. Sonali Dhuri,28,Dentist,300,100% ,Goregaon West,Mumbai
Dr. Prasad Chaudhari,25,Orthopedist,1200,95% ,Chembur,Mumbai
Dr. Dhawal Haria,15,Ophthalmologist,500,100% ,Borivali West,Mumbai
Dr. Shaurya Rohatgi,14,Dermatologist,1000,96% ,Andheri West,Mumbai
Dr. Nidhi Viradiya   (Physiotherapist),7,Physiotherapist,1000,100% ,Worli,Mumbai
Dr. Suresh Sankla,40,Neurosurgeon,1850,100% ,Parel,Mumbai
Dr. Purnima Parikh,36,Dentist,500,93% ,Vileparle West,Mumbai
Dr. Jasmine Modi,26,Acupuncturist,1500,98% ,Andheri West,Mumbai
Dr. Sita Gururaja,27,Gynecologist/Obstetrician,800,98% ,Powai,Mumbai
Dr. Ravikiran M. Vernekar,22,Ear-Nose-Throat (ENT) Specialist,1600,96% ,Powai,Mumbai
Dr. Divya Sinha,14,Dentist,500,100% ,Chembur East,Mumbai
Dr. Minali Goyal,36,Ophthalmologist,1000,96% ,Worli,Mumbai
